Geneid	Length	SRR11206238	SRR11206239
77300	9117	1316	945
100043027	207	6	9
100042533	791	20	21
12487	4317	111	100
100504618	845	2	0
12477	1931	4	0
54167	3254	0	0
77341	892	0	0
72823	8392	2293	1547
18187	8122	9474	7369
74992	895	19	4
227195	13529	502	364
100380944	1802	216	145
100504668	1301	238	226
227197	2927	14190	12311
55949	1933	2777	2006
100217464	113	9	1
241070	1606	0	4
73884	12621	17	2
23792	6879	34	22
241073	2427	34	44
76668	1711	5	12
75619	3205	1450	1246
74426	1756	0	2
433315	1432	5	13
93691	1344	467	427
12912	8421	2865	2257
67099	2666	1238	945
69941	713	2	4
227210	2927	449	367
14367	6914	111	50
241075	8562	1041	857
70861	1353	3	0
667276	1020	4	2
12968	642	2	0
12967	635	0	0
12966	612	1	0
12965	605	0	0
12964	615	0	0
98303	2180	6	2
15926	2438	5269	4548
18711	11255	1287	1254
213527	2414	0	0
12969	622	0	0
17756	5520	1064	887
100038569	1663	42	33
329178	13533	71	69
66646	2630	2765	2299
68691	4760	1033	1076
11363	1892	6628	4776
100862127	515	0	0
17901	1111	1	0
14768	4461	2146	1460
227231	4704	2	1
13869	4257	47	18
100502712	2069	0	0
22779	9424	267	198
66722	2270	0	0
320460	4655	0	0
12021	5448	16	4
74591	8323	0	2
108147	2611	876	657
14268	8312	5744	4992
100042814	1193	6	5
667931	1019	0	2
71134	1093	0	0
433319	483	1	1
381269	2493	80	57
111175	1186	681	551
271711	2815	0	4
22596	2556	2104	1612
381270	4187	0	1
54380	6715	1379	1189
319695	4573	2	0
19981	588	277	221
16008	1330	1953	1395
16011	5854	14947	9997
21958	427	1	0
69449	571	0	0
723792	1560	0	0
78718	551	0	0
109198	1801	117	131
21961	9966	48073	39004
435626	2336	8876	7388
100862357	817	0	0
12765	3043	4	2
227288	1125	2	0
100316687	67	0	0
76709	1597	13807	11988
227289	990	13	1
227290	1820	11407	8911
56695	3501	4571	3181
69660	2309	22288	17755
241112	2101	22	25
18173	2304	203	132
227292	2776	493	473
387219	85	2	2
22349	3117	78	45
319651	7196	971	757
58184	3266	2119	1542
18802	3121	284	274
77264	7472	698	530
66821	1829	1076	751
57751	1475	1312	1037
269209	5235	253	192
67534	4253	480	343
104086	1890	466	398
241113	2832	6	12
22420	2068	18	16
22409	1962	5	0
12570	2704	0	0
260298	1479	0	0
12958	702	0	0
723900	64	0	0
241116	5718	0	1
16147	2444	2	4
75570	860	315	232
22626	2059	10	6
69171	2738	3459	2498
227298	2557	6727	4792
68818	1299	2198	1827
74104	2934	683	500
245860	3764	4169	3276
52231	2764	1145	783
74577	3451	1033	938
20872	2885	3711	2678
22145	2053	7154	4310
381272	767	2	2
56812	3203	4177	3521
19275	3535	11	6
19711	710	4	0
13437	1946	3845	3129
13346	2150	392	216
100503248	676	0	2
11790	11933	148	143
69080	1528	1553	1233
100862164	449	1	0
241118	2650	0	2
74241	3235	2409	1929
319998	2185	53	16
98733	5770	352	246
16322	1463	140	67
71728	4458	691	542
20536	4441	465	303
100862333	771	0	0
620079	2188	0	0
13838	6328	269	173
18505	3868	1976	1479
100039210	1208	0	0
433323	3998	747	537
23874	2132	3337	2721
68393	1206	6	9
74205	3950	15178	13449
195434	3981	278	310
57814	2463	340	205
20254	2485	8	6
100862182	832	1	0
252903	2876	67	70
69368	4714	5649	4521
100038695	1791	0	0
69163	1424	1503	1087
100862198	480	0	0
20720	2055	6119	4792
241128	2862	44	36
26554	2764	3005	1819
72208	394	0	0
210293	7303	605	458
241134	4919	0	0
16367	9163	1215	1168
100503073	3039	42	34
76867	3757	5653	4589
100503095	2833	8	0
12829	7808	314	272
12828	8609	556	450
75734	1866	14848	11650
66261	1503	0	0
100044526	654	4	10
15463	3137	2599	1914
80721	2974	276	231
71386	992	2	2
20297	802	0	0
71227	1670	0	0
77629	6512	0	0
98496	2667	627	410
227325	3632	78	101
100628595	77	0	0
14897	9632	5324	4489
66153	900	660	614
71781	2349	0	0
100503433	891	0	0
381287	1760	0	0
621875	1334	0	0
100040135	1348	0	0
665378	1621	11	0
620078	1971	5	1
100040213	891	1	0
100039794	1073	5	4
665338	891	0	0
109032	1971	63	47
434484	2417	21	43
100503502	852	0	0
100503045	659	0	1
20684	2158	604	534
319997	1936	15	10
12283	3800	10433	8289
64294	2024	17417	13283
71141	1148	0	0
227326	2550	0	2
70060	1602	0	0
72792	3331	0	0
70247	3256	11855	9781
15559	2072	1	2
78795	5258	881	601
100861644	653	8	2
227327	2595	636	379
383538	483	0	0
17975	8257	8706	6717
100303740	116	7	5
80828	68	0	1
319336	1266	47	19
14767	1218	2	0
71863	1721	0	0
19231	1192	995	811
18582	1092	2706	1970
26895	2231	1195	1030
18159	1042	7	2
208718	3171	1103	786
11650	2113	0	0
76768	2337	0	0
11648	1680	0	0
13599	2698	1272	605
69453	1999	0	0
11447	2910	0	1
11449	1921	2	0
26987	4928	2339	1883
98363	1805	11961	9599
227331	5743	2142	1543
100040591	1349	14825	12812
73234	462	0	0
53972	3384	0	0
319977	1676	0	0
620454	1602	1	0
23956	2018	0	0
16331	4938	490	230
77040	3180	2188	1603
100217415	248	0	2
20215	1718	5	5
100503175	947	14	1
227333	5694	1565	1228
227334	5316	1758	1362
394430	3242	1	2
394434	3216	0	0
394432	3294	9	5
394435	2293	0	1
94284	3302	0	0
394433	3208	0	0
22236	3206	0	0
15504	1017	14	14
394436	3229	0	0
100040766	7526	1	2
381280	8439	110	80
78605	3662	0	0
171382	3844	0	0
75396	870	15	2
14659	1957	0	0
100503197	2622	0	0
320982	3967	511	305
78650	476	0	0
73475	603	0	0
98402	3673	6042	4084
77331	591	0	0
347722	9581	1254	1051
74403	3611	29	12
14472	2126	0	0
208372	1404	0	0
74918	3210	6	0
12778	2579	9409	7804
108679	1843	5586	4357
433332	1207	0	0
12835	10841	25	14
171531	4484	2795	1998
623503	261	0	2
19329	1950	4764	3800
16978	5743	10221	8567
329207	3851	0	2
51801	3022	95	81
67921	1363	1971	1493
665783	892	477	337
50880	2207	4023	3133
227357	5442	12	2
100503326	684	0	1
70788	3020	161	127
227358	2815	33	62
67444	1368	3873	3467
67086	547	2	0
55927	1335	2860	2202
18627	5837	937	710
74019	3500	507	414
65247	6072	1184	1084
13345	1312	2	4
208727	3960	1143	795
67273	1220	8547	7028
259040	939	0	0
258228	936	0	0
259041	1189	0	0
259039	1082	0	0
258274	966	0	0
258483	972	0	0
258484	969	0	0
257890	1121	2	4
66915	711	5393	4425
260301	704	4382	4203
14733	3552	5802	3886
100504295	543	0	0
387167	66	0	0
241158	3243	6	25
67446	1491	1370	1117
108657	3039	2919	2008
100037260	1689	99	96
23830	2877	799	625
64095	4396	18	4
208760	1088	0	0
16560	8257	1534	1064
11611	1517	0	0
71874	2362	0	0
381284	7348	37	6
208777	4474	826	732
69821	3315	1172	891
269224	5119	41	28
66385	3653	3228	2860
404545	3217	0	4
110611	6238	16463	12941
18000	3335	8791	8571
227377	3912	1348	1113
59041	3254	2619	2022
51800	1432	240	109
67026	2160	1810	1200
66615	2964	3804	3327
21915	1310	1270	1069
66262	4539	1622	1455
98314	3058	639	451
381334	2846	0	2
100041596	1185	5	7
666009	570	24	13
619597	4059	0	0
241159	4511	0	0
18566	1930	2	0
74689	1565	0	6
67698	2107	4513	3539
20452	5677	422	306
75381	761	0	0
100504401	921	0	0
73454	356	0	0
75159	583	0	0
227394	2394	16	0
329217	3849	22	30
67854	2475	0	0
74441	2433	0	0
634331	2091	0	1
634346	2300	0	0
52392	2738	562	542
227399	5565	3309	2461
252876	2041	775	634
18484	4103	11573	9734
78603	1178	35	45
69030	1687	0	0
70866	2328	0	2
100504494	800	3	4
241175	5120	1	2
100504525	886	0	0
23836	3722	125	104
320311	8529	10261	8516
100504568	1284	365	294
27392	6777	1074	799
227446	5406	1342	1272
100042023	231	84	75
21934	5022	194	179
635504	465	26	29
227449	6661	490	422
626049	545	7	0
98432	6104	2309	1667
12043	7749	1360	935
320761	1243	0	0
70750	5582	2752	2503
20479	3272	5789	4658
20724	2565	192	175
71869	1735	0	0
241196	1607	0	0
20248	1629	0	0
394252	1164	0	0
383548	1632	0	0
381286	1659	1	0
66957	1699	0	0
116872	1887	6	0
18788	2047	2	0
241197	3490	6	4
20725	3289	160	174
241201	3353	0	15
227485	3054	4867	3935
319901	5763	822	601
636808	3915	0	0
634762	729	0	0
22099	3040	5075	4327
67949	1894	1562	1368
76707	7899	3189	3029
68204	597	23	12
81879	9270	1492	1150
14633	6708	305	187
16324	4255	18	8
100502628	748	0	0
64143	2277	2854	2334
226351	2830	1460	1142
226352	7746	3133	2502
19258	4707	698	573
66343	3301	1531	1291
226356	2511	0	0
319229	1924	18	15
170706	1017	3904	2948
13167	745	56368	42410
73103	1089	165	134
68428	3177	621	425
226359	2000	0	0
17167	1985	0	1
13798	2554	0	0
98452	1580	1	4
72999	2524	8479	6809
70829	7256	1796	1491
15564	2019	2	0
66942	2249	316	263
100502702	453	0	0
269109	4630	189	54
74117	2746	5432	4232
74150	2597	4324	3145
71111	2690	0	0
72585	2047	3	0
210356	7593	55	46
107895	3104	180	116
667090	484	0	0
72160	2517	0	2
266645	2303	1	0
100502745	464	1	3
72949	3514	2652	2296
22625	3936	3	8
226407	4251	5794	4714
226409	4154	200	172
226412	4812	1252	990
387147	70	2	0
67812	4093	4644	3707
226413	6166	0	6
17219	2901	111	102
226414	2509	4074	3548
12767	1814	28	19
210417	6253	5	0
100042740	613	2	1
13137	1324	0	0
13136	2527	1011	862
22789	2034	0	0
12269	1883	0	0
12270	754	16	7
18640	9621	6969	5677
226418	3843	898	636
212439	2909	5105	4405
64435	1911	0	0
100502856	1065	0	0
18703	3849	10	0
69169	1491	0	0
93672	1116	0	0
58181	824	0	0
329244	1023	0	0
16153	1306	0	0
17164	2567	7135	5066
226419	2072	105	71
16865	2290	2796	2570
54354	3405	156	176
56489	3203	315	306
14270	8040	2931	2347
108900	2105	151	122
26361	4148	0	0
13034	2120	265	193
226421	2523	274	190
320718	3640	2	2
212933	3540	1277	1011
98396	4660	10748	8135
226422	1189	1568	1330
98415	6096	3944	4139
212980	3426	740	549
13714	3671	527	421
213006	4853	211	162
18557	3046	1120	771
723818	97	0	0
213409	958	596	484
213417	4269	49	46
74137	3132	86	84
68875	3410	930	732
213452	6385	5106	4025
213464	3632	1896	1729
74626	1742	160	102
21367	9535	4	0
269116	10379	810	696
100038653	1879	0	0
16980	3346	84	70
17248	3490	654	507
240752	7929	872	638
108954	5588	5642	4014
240753	7457	3685	2753
100502933	3112	296	315
68338	1842	1	0
280287	496	0	2
19701	1423	9	0
214253	2279	634	504
20668	3531	1515	1268
20643	492	884	776
70579	4395	3239	3032
667118	5007	163	120
240754	2371	0	0
381290	8292	396	426
269120	2074	8	2
116847	3602	19985	16444
100502984	884	0	0
14264	2859	6	6
100502999	532	7	18
12227	3083	1915	1449
667414	432	1	0
71884	1711	3	4
12654	1689	1302	958
53311	1829	0	1
11539	5786	3569	2576
17928	1480	0	0
68507	6067	182	90
57439	3169	5482	4537
240755	1770	0	0
72017	1626	2202	1687
72674	2024	10916	8465
100861791	590	0	0
240756	3196	4405	3296
98710	1960	3256	2668
100503055	641	1	1
71001	1457	4	0
75605	6300	3714	3056
20980	3386	0	2
329251	6185	387	291
67196	1079	26	17
329252	3623	55	17
13924	6089	2	0
100038590	915	0	0
320139	3264	22	6
68724	1702	5060	3614
171469	2253	65	42
13710	2000	2360	1411
215615	2301	3733	2990
21854	917	4878	4234
93689	3942	90	78
77552	1190	663	427
226432	6236	6685	5059
215690	12767	2701	1963
13007	1770	45185	34747
27280	1467	2088	1667
21952	1114	2	1
16763	2992	2838	1915
21956	1194	74	79
18772	4486	2163	1655
226438	8996	11	0
66241	1750	4782	4192
12292	6260	3	1
329253	508	0	2
16565	9119	238	261
76422	2922	554	531
67313	3013	1785	1577
100042513	584	0	0
383563	1960	86	58
67886	7823	4599	4026
320054	2097	16	13
67997	2228	749	648
381293	8770	6	4
71084	1846	0	0
226442	5275	1918	1600
100503460	489	140	154
100503474	1199	65	54
667686	385	26	39
26424	3857	6	2
320138	3023	4	6
735252	87	0	0
723890	80	0	1
19264	5664	174	135
338375	1887	17	6
59125	3366	10807	9074
545363	1930	0	0
16876	5750	0	0
69549	571	252	247
75546	410	0	0
329260	8314	1934	1529
170788	4702	0	2
71209	1111	2	0
226470	8362	2013	1881
12316	9866	8	2
14060	2378	0	0
50702	1732	0	0
624286	999	0	0
214403	2887	0	0
545366	1602	0	0
12628	4365	2727	2252
240776	3957	24	6
75910	551	0	0
226472	591	0	1
214498	2678	1335	1009
26878	4578	2	4
69367	3730	2688	2096
20822	8721	4987	3892
56207	1851	2869	2648
19735	3009	327	156
100861894	494	0	0
246709	1497	2	0
50778	1330	2	0
624910	459	0	0
64214	1859	18	10
215378	3172	0	0
100043240	3910	0	0
791353	1179	0	0
100503781	490	2	0
18783	2846	601	563
320019	1098	0	0
19225	4150	0	2
100043257	532	250	185
100043261	345	2	0
20028	1247	0	0
75584	610	0	0
226499	3242	4654	3984
108989	7550	4950	3776
96875	4278	18	5
545370	18316	908	584
402734	2640	0	0
73176	1674	0	0
117198	5037	33740	28875
66875	3668	826	761
98685	2665	1787	1466
19821	3028	2554	2321
100503012	373	127	90
63913	3939	77	55
66967	6604	2553	2422
69399	9754	1911	1470
66637	1133	520	411
269132	4056	1925	1433
19731	3887	659	521
100861876	505	18	34
71281	1566	0	4
67771	1897	6917	5945
100503084	519	6	0
17970	2596	259	166
226517	6069	5799	5152
226518	4523	3611	3140
16782	5164	2475	1733
226519	7622	5504	4729
626058	2827	0	2
71836	2045	0	3
13211	4613	443	478
74091	1403	47	26
67792	5804	0	0
329271	3337	0	0
19734	2335	118	42
24014	4758	37	23
240816	3640	34	44
240817	1654	18	14
433365	2527	6	0
240819	1415	2	0
14645	2782	20760	16399
100861882	573	0	0
207678	1877	109	63
78112	613	0	0
12290	12697	320	210
15939	3270	332	209
15064	2509	2967	2131
58244	2459	4015	3000
207792	4611	1967	1715
100503411	2791	12	22
19775	7651	2895	2515
433367	1751	91	87
72482	1942	957	901
16872	1853	0	0
100861926	688	0	0
104009	3361	4361	3292
74081	13307	1699	1193
208263	4439	4099	3293
240832	8112	5219	4235
329274	3687	0	0
214575	3443	137	121
170484	3108	6	2
77352	3297	1	3
20652	4785	1513	1096
11352	10714	296	197
30935	3268	2351	1749
100503836	636	0	0
215015	4238	9538	7516
78255	7133	828	668
72713	2190	130	80
73435	898	2	4
226525	10046	471	285
69953	1194	539	458
226527	1289	1674	1267
89867	4651	0	4
100504090	420	2	4
240843	4101	17	18
11899	7224	8	11
735253	109	1	0
23850	8585	0	2
72025	2475	0	0
26374	5056	989	836
100217414	118	0	0
21960	5395	0	6
67647	5391	3314	2504
75255	887	24	11
329278	5812	10	4
64659	1970	4739	4269
12301	2115	6937	6017
29809	9489	6435	6083
100316784	109	0	0
620246	1086	6	1
620750	465	1	0
381305	11011	1003	671
11905	2162	20	22
240869	3883	118	74
14455	2554	1087	848
100628588	91	0	0
100217446	65	9	13
226539	3581	2084	1486
70454	4327	324	314
226541	4037	808	679
73844	3723	281	161
100502590	954	0	1
11758	2334	17274	13852
22164	1609	0	0
240873	2064	4	0
14103	1935	0	0
226551	6308	3716	3232
75368	1164	5	2
67292	3301	2457	1834
103967	7523	95	54
72753	919	43	36
474332	7928	289	238
723821	110	0	0
387210	110	0	0
71449	2791	661	571
53330	2532	2129	1866
17926	2080	4	4
100038657	741	0	0
226562	10444	1671	1272
226564	1787	0	1
14261	2326	20	10
55990	3336	42	35
226565	1870	1	0
14262	2010	0	0
78258	2956	0	0
18933	7448	98	61
98376	2509	901	672
240879	1053	11	2
16579	3907	2966	2572
240880	4069	1545	1173
381306	2912	78	136
69962	1457	585	471
20339	2912	1	0
20343	2321	15	6
20344	3438	0	1
100503816	1241	0	0
14067	7406	17	0
116914	3546	4331	3323
74895	1896	1675	1306
66352	4035	1788	1531
171567	3011	6543	5818
11931	2422	79616	65719
56429	1636	5	4
433374	1588	12	9
16963	502	0	2
69476	357	0	0
75857	998	0	0
83993	2662	0	0
108735	5526	17385	14221
226591	4395	3862	3187
240888	1943	8	9
74106	3306	2248	1909
70456	854	10748	8672
271639	5209	9	10
68481	2356	24859	20425
100503268	612	12	6
226594	2670	446	308
100503283	1514	0	0
433375	2125	6455	5448
12503	4604	7	4
18986	13123	576	399
240892	4025	4	12
59290	2293	0	0
98558	1546	0	0
100039795	8260	12	22
100503318	2514	24	24
27878	2145	3040	2272
71592	7372	4283	3396
226601	1744	2	0
226604	3012	0	0
240894	3065	0	0
100503962	936	2	0
226610	4986	8	9
80914	1338	243	210
68944	4474	8914	7295
100862084	376	0	0
56752	2833	5247	4337
66447	635	4351	3578
240899	1137	10	4
100503977	287	0	0
20183	2363	125	87
110648	3338	7138	6754
18514	9027	1366	1148
66977	2405	22	12
19737	1809	382	217
100862094	1412	4253	4421
19736	2941	71482	62327
78465	1440	0	2
15490	4574	1195	1110
67303	1135	6	2
18214	8290	1876	1430
107652	2283	3401	2937
16589	2024	1930	1879
545378	399	0	0
622708	1691	77	51
26904	1433	9	12
665574	3833	766	570
76925	713	0	0
70729	3684	290	226
320078	3095	913	627
226641	7463	4253	3291
80915	1374	731	560
435653	1284	40	89
98752	1727	0	0
14130	1547	200	166
246256	1250	23	8
14131	1353	451	286
75472	1034	38	19
66052	1179	13704	11002
17528	1993	4	10
66425	1575	2401	1782
12355	1414	3	2
641376	2920	2023	1459
11807	521	0	0
14127	658	690	479
226646	1606	15003	12384
240913	3673	63	28
57370	1998	2537	1904
19044	1821	1905	1548
30941	2185	1664	1518
66155	964	1560	1171
100862110	308	0	0
100504072	1662	122	61
21945	2733	2088	1663
27045	1374	1358	1026
18637	622	1150	964
68874	1555	434	315
71740	3504	624	427
226652	4488	96	47
22278	1822	1092	713
226654	551	12	31
16456	2482	11759	9176
56009	1273	358	301
16429	1140	0	3
18106	3758	16	19
17085	2449	79	12
75345	3977	2	0
12506	1142	228	95
100041098	195	611	515
27218	2688	0	0
12523	6253	140	81
100038548	2574	0	1
100862186	671	0	0
30925	2443	9	2
93840	2260	223	147
18071	2487	0	0
59287	2855	9142	7316
12847	4629	14033	11249
100504176	730	0	0
19298	3131	4878	4339
98193	3743	12425	9555
18611	2477	12956	10061
12372	1874	46	24
27222	3485	24	32
98660	6227	7877	6324
140559	2234	5512	4013
16524	3270	30	7
16513	5407	89588	80283
67556	7569	1587	1292
100862199	620	0	0
98365	1145	95	78
93842	4249	152	70
21346	1382	1087	822
71870	1822	55	45
71319	941	18	5
240916	1879	14	27
74748	2040	6	20
677296	1914	0	0
68440	1417	67	70
100040320	811	1	1
12944	1698	0	0
20219	984	0	0
18313	1050	0	0
258759	933	0	0
258758	1063	0	0
258880	942	0	0
258881	1034	0	0
14125	1026	0	0
258645	991	0	0
100504232	694	0	0
13349	1158	4	0
94332	4159	0	0
383619	2541	20	23
240921	2951	0	1
545384	1294	4	1
623121	2680	0	1
236312	3497	3	0
100033459	2987	8	2
100504251	716	0	0
226691	3484	97	95
15951	2296	48	31
100504287	1468	18	13
666028	634	0	0
100040462	1908	108	81
381308	1651	15	20
15950	3793	171	133
26388	1796	60	31
226695	1613	0	4
258712	1004	0	0
258711	939	2	1
258713	954	0	0
258717	943	0	0
259162	948	0	0
404222	924	0	0
258716	948	0	0
258715	1050	0	0
258302	1046	0	0
20739	8405	6	2
258710	1088	0	0
66289	803	0	0
258238	930	1	1
258709	1010	0	1
258756	955	0	0
546747	978	0	0
54418	6442	100	82
23893	3745	26	8
24012	2487	0	2
14194	1632	5655	4695
98256	2498	2	6
13603	1721	978	776
12663	6117	608	632
75820	3817	0	0
26909	5506	22	2
319455	3894	33	38
545389	6930	1680	1277
723921	99	2	0
76816	2619	1400	1176
15365	1510	729	534
23797	4735	1068	759
30928	5106	1568	1143
75589	698	7	2
69428	749	1	8
11566	2553	3312	2773
631584	2790	58	66
545391	1663	46	38
78825	4214	1402	1261
791357	1199	59	4
75164	651	0	0
666295	875	484	397
320110	427	33	30
66359	448	2788	2525
51810	3670	17303	14235
68226	2539	538	473
269152	7406	209	78
69726	3769	1857	1507
15278	2448	490	380
226744	4545	6513	5307
109232	1922	4893	3877
226747	8831	2219	1521
100503705	1428	0	0
226751	8656	1593	1188
67426	4076	1456	1220
19165	2084	2479	1833
277333	3581	413	396
320404	5101	1146	1098
381310	6557	14	16
11545	3827	2579	1943
72568	3377	311	203
27217	2294	0	0
170760	3471	4852	3885
100504581	591	0	0
15078	1076	1013	746
208768	3189	2532	2182
100504598	177	220	168
320202	2462	0	2
100862334	599	1	0
69051	1599	1361	1130
13590	1604	308	216
208795	3239	7478	5297
